"","lizard_id","position","species","sex","trt","clutch","age.start","date_end_training","date_first_trial","days_since_training","group","trial_associative","position_feeder_associative","FC_associative","notes_associative","reinforcement","trial_reversal","position_feeder_reversal","FC_reversal","reinfor_reversal","notes_reversal","temp","cort","first_non_na","Associative_Trial"
"1",1166,"D4","delicata","Female","A_28","CL312_22",143,"4/4/2023","13/4/2023",9,"Red",1,"R",0,"",1,1,"R",0,1,"","Hot","Control",1,1
"2",1174,"E2","delicata","Male","A_23","CL313_22",132,"31/3/2023","13/4/2023",13,"Red",1,"R",0,"",1,1,"C",0,1,"","Cold","Control",1,1
"3",1182,"F3","delicata","Male","B_23","CL315_22",122,"29/3/2023","13/4/2023",15,"Red",1,"C",0,"",0,1,"L",0,1,"","Cold","CORT",1,1
"4",1192,"D4","delicata","Male","A_23","CL317_22",120,"29/3/2023","13/4/2023",15,"Red",1,"L",0,"",1,1,"L",1,1,"","Cold","Control",1,1
"5",1198,"B2","delicata","Male","A_23","CL318_22",120,"29/3/2023","13/4/2023",15,"Red",1,"R",1,"",1,1,"R",0,1,"","Cold","Control",1,1
"6",1205,"B4","delicata","Male","A_28","CL320_22",136,"31/3/2023","13/4/2023",13,"Red",1,"L",0,"",1,1,"C",1,1,"","Hot","Control",1,1
"7",1207,"A3","delicata","Female","B_23","CL320_22",118,"30/3/2023","13/4/2023",14,"Red",1,"R",0,"",0,1,"R",0,1,"","Cold","CORT",1,1
"8",1229,"D4","delicata","Male","B_28","CL326_22",129,"29/3/2023","13/4/2023",15,"Red",1,"L",0,"",1,1,"L",0,1,"","Hot","CORT",1,1
"9",1230,"F1","delicata","Female","B_28","CL327_22",132,"29/3/2023","13/4/2023",15,"Blue",1,"L",1,"",1,1,"C",1,1,"","Hot","CORT",1,1
"10",1258,"G2","delicata","Female","A_28","CL334_22",129,"28/3/2023","13/4/2023",16,"Blue",1,"L",1,"",1,1,"C",0,0,"","Hot","Control",1,1
"11",1284,"B2","delicata","Male","B_28","CL345_22",129,"21/3/2023","13/4/2023",23,"Blue",1,"L",1,"",1,1,"C",0,1,"","Hot","CORT",1,1
